Execucao,VizinhoMaisProximo_50,InsercaoMaisProxima_50
1,859.87,885.31
2,939.05,1021.39
3,752.31,982.08
4,923.90,950.05
5,928.45,979.04
6,804.52,884.75
7,791.84,900.25
8,960.05,955.39
9,813.73,924.25
10,957.17,987.21
11,870.56,973.32
12,842.24,875.76
13,863.37,914.44
14,960.97,966.57
15,859.14,877.28
16,906.02,871.55
17,772.05,987.83
18,882.49,945.34
19,759.81,949.24
20,811.54,837.50
21,833.88,910.77
22,944.89,925.66
23,832.67,931.57
24,812.55,944.71
25,803.36,881.90
26,900.75,903.61
27,799.21,822.48
28,911.30,867.59
29,859.11,876.95
30,933.73,881.21
