Execucao,InsercaoMaisProxima_Tempo_20,VizinhoMaisProximo_Tempo_20
1,206600,28600
2,170000,9900
3,141100,9800
4,141500,8400
5,141300,8100
6,142900,10100
7,145200,8300
8,139900,8700
9,139700,8100
10,139600,8000
11,138900,8600
12,153900,8000
13,145400,8600
14,145700,8800
15,145600,8400
16,145400,8800
17,146400,8600
18,163500,9300
19,153200,9200
20,152500,8800
21,152300,9200
22,152300,8900
23,199100,22800
24,152900,9800
25,152400,9100
26,152900,9400
27,189000,9000
28,149300,8900
29,160000,9600
30,158800,9300
