Execucao,VizinhoMaisProximo_Tempo_50,InsercaoMaisProxima_Tempo_50
1,89700,343300
2,48700,269800
3,47800,269400
4,47300,268900
5,49900,278400
6,48200,281500
7,48800,304100
8,58100,292800
9,54100,297300
10,40900,286400
11,21500,289400
12,30100,313700
13,28600,284700
14,20800,291300
15,22300,292700
16,20000,287100
17,19900,307600
18,21700,297300
19,20400,302000
20,21200,299400
21,21800,294500
22,21900,299600
23,21200,296800
24,21200,293600
25,27000,297300
26,21400,325400
27,21200,293300
28,21400,298300
29,21200,295100
30,21100,294000
