Execucao,tamanho_1000,tamanho_10000,tamanho_50000,tamanho_100000
1,400,10400,200,100
2,6200,200,400,100
3,200,200,100,100
4,300,100,300,100
5,400,900,100,100
6,200,10700,200,500
7,300,400,100,200
8,400,6500,200,100
9,200,100,100,100
10,300,200,200,100
11,300,200,200,100
12,200,100,100,100
13,300,100,200,200
14,200,200,200,200
15,300,300,300,200
16,200,200,300,100
17,300,300,100,200
18,300,300,200,100
19,200,200,200,100
20,200,300,200,100
21,100,200,100,100
22,100,400,200,200
23,200,200,300,200
24,200,300,100,100
25,100,300,100,100
26,100,200,100,100
27,100,200,100,100
28,100,200,100,200
29,100,200,100,100
30,100,200,100,100
