Execucao,tamanho_1000,tamanho_10000,tamanho_50000,tamanho_100000
1,7200,10400,300,100
2,400,200,200,300
3,6100,200,400,200
4,400,300,200,200
5,400,300,200,300
6,500,7300,300,300
7,400,19100,12500,300
8,500,7100,800,400
9,400,6600,200,300
10,300,300,200,200
11,400,200,300,200
12,400,200,100,100
13,300,100,100,200
14,400,100,300,400
15,300,300,400,300
16,300,100,400,200
17,400,200,300,400
18,300,300,100,200
19,300,15400,600,200
20,400,200,200,400
21,300,200,300,300
22,200,300,200,200
23,300,300,300,200
24,200,300,200,200
25,200,200,200,100
26,100,200,200,200
27,200,100,200,200
28,200,100,100,200
29,200,300,200,300
30,200,200,200,300
