Execucao,tamanho_1000,tamanho_10000,tamanho_50000,tamanho_100000
1,16400,1400,2100,400
2,600,1300,1800,400
3,400,1300,1900,300
4,500,1100,3000,300
5,400,1200,2200,300
6,400,1300,1900,300
7,400,1800,2300,300
8,400,1200,1900,300
9,400,1100,1700,200
10,400,1200,1700,200
11,400,1300,2000,200
12,400,1200,1800,200
13,400,1300,1900,300
14,400,1100,1800,200
15,400,1100,2000,300
16,400,1200,1200,200
17,500,2000,800,200
18,400,1300,800,200
19,400,1000,2000,200
20,400,3500,2400,200
21,400,1300,1900,200
22,400,1400,1700,200
23,400,1200,1400,200
24,400,1200,1500,200
25,400,1100,1700,200
26,400,1200,9800,300
27,400,1500,500,200
28,500,1500,600,200
29,400,1400,500,300
30,400,1500,600,300
