Execucao,tamanho_1000,tamanho_10000,tamanho_50000,tamanho_100000
1,2300,1700,2400,700
2,600,1000,2000,400
3,300,1200,1900,500
4,700,1100,2100,300
5,300,1300,2200,300
6,300,1100,1800,300
7,400,1000,2000,300
8,400,1100,2000,400
9,300,1200,2200,400
10,400,900,1700,400
11,300,1200,2300,300
12,400,800,2500,300
13,400,1500,1700,300
14,400,1100,2000,400
15,400,1000,2100,400
16,400,1100,1900,300
17,500,900,1100,300
18,500,1200,900,300
19,500,1000,600,500
20,400,2700,2400,300
21,400,1200,2000,300
22,500,1700,2000,300
23,600,1300,1700,400
24,500,1100,1700,500
25,300,1100,1900,200
26,400,1300,2100,300
27,400,2100,2400,300
28,400,2100,700,300
29,500,1300,700,300
30,500,1300,900,300
