Execucao,tamanho_1000,tamanho_10000,tamanho_50000,tamanho_100000
1,31600,252900,345900,32800
2,24600,260100,88600,20400
3,28400,257900,109700,32100
4,30100,219900,113800,17100
5,28600,81300,113600,18700
6,31100,204100,105000,17600
7,30700,73000,872900,17200
8,31800,63600,112200,17400
9,29200,69200,5665600,17500
10,29100,68400,124300,17200
11,28800,67600,369200,17400
12,27900,69000,118200,17400
13,29000,67900,86500,17100
14,28000,64900,116100,17300
15,26000,68100,119900,17200
16,28000,70900,110500,17400
17,29000,67500,114500,17400
18,23700,47800,108300,17300
19,27400,61100,109100,17300
20,25900,53900,111000,17300
21,26200,51100,110800,17100
22,27700,47900,110800,17100
23,27300,59400,121800,17200
24,26900,54200,116300,17200
25,25500,56800,114100,17300
26,26600,68800,113300,17300
27,27200,63700,117400,17100
28,27500,63400,120600,17300
29,27700,62800,114900,17300
30,27700,46500,112900,17500
