Execucao,tamanho_1000,tamanho_10000,tamanho_50000,tamanho_100000
1,6200,27100,123200,31500
2,19400,70000,12200,24300
3,7400,31700,91800,2200
4,23500,226100,107500,7000
5,28200,69700,101300,12200
6,15900,70100,104200,15400
7,14700,11000,92000,3900
8,27200,41900,129300,16900
9,15200,37200,35600,11300
10,2900,54300,136000,3200
11,5400,48100,109900,13400
12,27000,49200,116700,900
13,8800,32400,40000,9800
14,8800,16000,108800,12800
15,13500,29700,103800,11300
16,1000,18600,109500,13700
17,12800,93000,101000,15400
18,5100,70700,143700,13300
19,18500,43100,95900,12100
20,5400,11600,96500,12700
21,10600,8900,109300,7300
22,23500,37700,101600,4900
23,6100,36700,70500,10000
24,23700,16900,100000,11100
25,6400,6200,99900,2000
26,6700,31000,95400,2700
27,1000,38700,114500,8100
28,12500,42300,76800,1400
29,11100,44800,100200,3000
30,6600,47900,111700,17100
