Execucao,InsercaoMaisProxima_10,VizinhoMaisProximo_10
1,391.91,345.47
2,317.79,282.51
3,311.59,272.85
4,287.67,278.05
5,274.12,338.90
6,332.39,313.35
7,365.53,319.33
8,306.61,310.86
9,297.12,326.09
10,310.58,275.15
11,380.28,335.66
12,286.81,286.81
13,352.19,354.08
14,240.61,383.11
15,382.15,432.98
16,357.91,337.70
17,295.72,251.56
18,311.54,350.19
19,367.48,341.64
20,392.43,400.34
21,282.95,324.09
22,329.99,315.24
23,343.91,456.79
24,314.84,370.13
25,326.36,377.60
26,281.03,241.85
27,375.31,416.64
28,284.41,283.15
29,347.61,304.76
30,201.59,339.36
