Execucao,InsercaoMaisProxima_Tempo_20,VizinhoMaisProximo_Tempo_20
1,204700,15300
2,195100,24800
3,309700,9700
4,320400,21300
5,244800,14400
6,379900,22300
7,223000,15100
8,491700,16900
9,417100,35200
10,381400,20200
11,421200,22700
12,347700,26400
13,266500,15900
14,243400,17900
15,242300,16000
16,279500,17400
17,243300,19300
18,220200,26400
19,196800,12200
20,237000,11300
21,196300,12100
22,196300,11500
23,233000,28800
24,234600,14500
25,230800,13900
26,234500,14500
27,237000,13800
28,234200,14800
29,271600,26700
30,321500,14300
