Execucao,VizinhoMaisProximo_Tempo_50,InsercaoMaisProxima_Tempo_50
1,79700,406700
2,73100,500700
3,69800,270700
4,48000,267500
5,47600,264700
6,45900,433900
7,84500,363000
8,83700,446200
9,61500,339500
10,56400,350600
11,26200,370200
12,35000,357400
13,53100,530600
14,38900,526600
15,25200,429400
16,24000,604700
17,24500,281000
18,19400,268700
19,18700,265700
20,19700,264500
21,18800,264900
22,20700,264900
23,18600,263000
24,19900,274100
25,22000,275200
26,19800,273400
27,19500,272600
28,28200,456600
29,19600,371600
30,62000,509600
