Execucao,tamanho_1000,tamanho_10000,tamanho_50000,tamanho_100000
1,400,14000,300,100
2,200,100,500,100
3,4900,200,400,100
4,200,100,100,100
5,300,2700,400,600
6,100,6400,300,100
7,100,200,300,100
8,200,15200,200,100
9,200,200,300,100
10,100,200,100,100
11,200,300,500,100
12,100,100,200,100
13,300,100,200,100
14,200,200,100,200
15,200,200,100,100
16,200,200,300,200
17,200,300,200,100
18,100,200,100,200
19,200,100,200,100
20,200,200,300,100
21,100,100,100,100
22,200,200,100,100
23,200,300,100,100
24,200,100,100,100
25,100,100,100,100
26,200,200,100,100
27,100,200,100,100
28,100,100,100,100
29,100,200,100,100
30,100,100,100,100
