Execucao,tamanho_1000,tamanho_10000,tamanho_50000,tamanho_100000
1,15300,16500,600,200
2,400,200,100,400
3,300,200,200,100
4,4700,300,400,300
5,300,300,300,300
6,400,5500,400,200
7,300,7400,13600,200
8,300,9300,500,200
9,200,16600,100,200
10,200,400,400,200
11,300,20600,400,300
12,200,300,200,100
13,200,200,200,300
14,400,300,200,200
15,200,200,200,100
16,200,100,500,200
17,300,300,400,300
18,200,300,100,200
19,200,200,200,300
20,100,300,300,200
21,200,200,600,200
22,300,200,300,200
23,200,300,200,200
24,400,400,200,200
25,300,200,100,100
26,200,200,200,100
27,200,100,200,200
28,200,200,100,200
29,100,300,100,300
30,200,300,200,300
