Execucao,tamanho_1000,tamanho_10000,tamanho_50000,tamanho_100000
1,21600,2000,1300,800
2,500,1900,900,700
3,500,1900,900,500
4,500,1500,1500,400
5,500,1200,1400,400
6,500,1400,1000,300
7,500,1800,1000,300
8,500,2500,900,300
9,500,2000,1000,300
10,400,1800,1200,400
11,500,2000,900,300
12,500,1300,900,300
13,800,1800,900,300
14,500,1200,2600,200
15,500,1800,2600,200
16,600,1300,1600,200
17,600,1600,2100,300
18,500,800,1900,300
19,600,1600,1900,200
20,500,2300,1200,300
21,400,700,1000,300
22,400,800,1000,300
23,500,700,1000,300
24,400,800,1300,300
25,500,1700,1000,300
26,500,1600,10700,300
27,400,1900,500,200
28,500,2000,14100,300
29,500,1800,400,300
30,500,2000,400,300
