Execucao,tamanho_1000,tamanho_10000,tamanho_50000,tamanho_100000
1,2500,2100,1900,800
2,800,1600,1200,1000
3,500,1700,1000,700
4,500,1400,1000,600
5,400,900,1100,500
6,400,1300,1000,400
7,500,1700,1000,400
8,500,1600,1000,500
9,400,1800,1100,400
10,500,1400,900,400
11,300,2000,1000,400
12,500,1800,1200,300
13,500,1500,1000,300
14,600,1400,2500,400
15,500,1800,2400,400
16,400,1100,2700,300
17,600,1400,1700,400
18,400,1100,2200,400
19,700,700,2100,500
20,500,1700,1200,500
21,500,700,1200,400
22,500,300,1100,400
23,500,900,900,500
24,600,700,1100,400
25,300,1100,1100,300
26,500,1400,1100,400
27,500,1700,2500,500
28,400,2000,600,400
29,500,1900,400,500
30,400,2100,400,400
