Execucao,tamanho_1000,tamanho_10000,tamanho_50000,tamanho_100000
1,34400,315600,82800,35700
2,30300,337200,66000,27500
3,28800,333500,76500,41900
4,29700,352300,75700,22700
5,31100,332700,81200,22800
6,30100,104000,79000,22900
7,29600,122000,74900,22700
8,31000,85000,76500,35900
9,29800,90000,51600,21200
10,32500,88300,75800,21500
11,31100,74200,75100,24500
12,30000,79200,74700,21600
13,276700,88300,52700,21200
14,59600,89800,77200,21400
15,27000,90100,74100,21300
16,26900,90600,74900,21400
17,27500,78900,74500,21500
18,28000,45600,75500,21400
19,27700,45100,88900,21300
20,27300,45300,74200,21300
21,27300,48700,72000,21100
22,43000,47100,71600,21200
23,30600,47400,75800,21200
24,27800,47100,72000,21300
25,27500,57500,71500,21400
26,30700,74700,71400,21300
27,28500,45200,71700,21100
28,35000,45100,74200,21400
29,25600,45600,71500,21300
30,31100,45200,72100,21500
