Execucao,tamanho_1000,tamanho_10000,tamanho_50000,tamanho_100000
1,6700,36400,114300,31700
2,23300,95900,11300,28300
3,8100,41300,65800,3300
4,25600,298500,76800,9100
5,32200,325400,67100,16100
6,16700,86700,72800,20200
7,14500,27100,67600,5100
8,28200,59100,80900,22300
9,16800,48100,24800,12000
10,3000,70500,72300,4000
11,5500,65300,68900,16600
12,14900,58100,66900,1200
13,10200,46800,23700,12000
14,11100,20500,67500,15700
15,17600,38200,65200,14100
16,900,25100,69000,16800
17,13300,67300,72800,19100
18,4800,37800,136700,16400
19,21700,39500,66600,14900
20,5900,10400,65300,15700
21,10600,6400,69900,9000
22,24700,53900,66800,6000
23,6500,34100,45000,12400
24,26200,13700,62500,13600
25,6700,6000,62200,2500
26,7400,25100,63000,3400
27,1000,27300,71000,9900
28,14900,33800,50100,1700
29,16200,33600,64300,3700
30,6400,37300,71900,21200
